n,trials,ks_stat,ks_pvalue,ad_stat,mean,std,q05,q50,q95
1,4000,0.1586724891902398,1.949156456939247e-88,190.7254549466261,6.366418448461708e-05,1.0048331498023935,-0.9434533220288606,-0.29814723227423195,2.045712397845181
2,4000,0.10191832426635761,1.2599103734036367e-36,89.61884597986136,-0.008759854743284202,0.9959937365399003,-1.1734964216087156,-0.24494284381173193,1.9297143539400174
5,4000,0.06744651019681247,2.893234249765912e-16,44.49965367982804,0.009596879176932135,1.0185862221547795,-1.3545392483256082,-0.1591074787533325,1.9359539035192315
10,4000,0.0391301615451366,9.29719106278392e-06,15.935308950875424,0.005045376282670988,0.9986478745344344,-1.4340901163908772,-0.08208858417514828,1.7640254473103267
20,4000,0.028152048368029037,0.003459288323663591,9.839874494973628,0.008739107146536815,1.0256743442281222,-1.518297022065322,-0.06662662718049761,1.8416141829529578
50,4000,0.03488738037898359,0.00011515310834506163,3.4317132720370864,-0.030622979662343723,1.0060774832488755,-1.5902314716495176,-0.07399396968551772,1.6621300861992907
100,4000,0.026682091241015504,0.006599897174067226,3.0620615158427427,-0.0012703804814821055,0.9938966951434371,-1.5479298623632711,-0.0444178622244813,1.7099830909465972
200,4000,0.019361912124598146,0.09836866362550156,1.707984825337462,-0.014788682494395392,1.0029973236519338,-1.5899347006476063,-0.03764416526419259,1.699590624795504
500,4000,0.015972056200526996,0.2565376609767861,0.738041213134693,-0.011060548121382519,0.9814004469364525,-1.579473771873313,-0.02840446377849543,1.5738398430364098
